,ID,Seq_NSE,Seq_dry_err,Seq_NSE_extreme,Seq_S2,Station,NonSeq_NSE,NS_dry_err,NS_NSE_extreme,Agg_S2,Improvement,Percent_change
39,7,0.4968800813807749,0.125,-2.5455269230068387,1.4,348,0.4965590444751733,0.11858974358974358,-2.348231864824307,1.18,0.0003210369056015905,0.06465231258468025
40,84,0.6942499838105705,0.11442786069651742,-0.3833312062414045,1.4,802,0.6229231282515943,0.13598673300165837,-0.9367535630036317,1.3599999999999999,0.07132685555897611,11.450346330722157
41,38,0.5627681202150001,0.09740259740259741,-0.8354996109856816,1.3900000000000001,543,0.5462298417735338,0.08441558441558442,-0.9434055731258735,1.3900000000000001,0.01653827844146627,3.027714192210505
42,85,0.5253038575610314,0.11056910569105691,-0.6729450564399242,1.4,1097,0.43089030980498455,0.1073170731707317,-1.069103196922193,1.24,0.09441354775604682,21.91127198910024
43,54,0.6320988395249427,0.10912052117263844,-1.5371567313217764,1.38,607,0.6346220557575586,0.11074918566775244,-1.5496646358610247,1.38,-0.002523216232615866,-0.3975935298378279
44,58,0.659597976981624,0.12695652173913044,-0.09622886733686853,1.35,622,0.6274222288346716,0.12521739130434784,-0.2677620307744808,1.24,0.032175748146952454,5.128244851431763
45,78,0.5053710285471984,0.13636363636363635,-0.9598594111468324,1.33,762,0.44728627134317656,0.14646464646464646,-1.2144169849836182,1.22,0.05808475720402184,12.986036220069186
46,63,0.5913794759254355,0.06862745098039216,-0.3457403288551715,1.32,661,0.5245989339310965,0.07679738562091504,-0.7055446175795186,1.18,0.06678054199433903,12.729828002873969
47,34,0.6488374908294183,0.10112359550561797,-0.23500016527945666,1.28,528,0.6506412475705882,0.0898876404494382,-0.19684320588728754,1.28,-0.0018037567411698374,-0.2772275425059257
48,32,0.5877326867105724,0.12393887945670629,-1.0346697932290958,1.29,521,0.5198527561061413,0.1307300509337861,-1.432653830118678,1.12,0.0678799306044311,13.057530196218034
49,2,0.5466032069096847,0.12769485903814262,-1.2303844402648059,1.28,1061,0.5223802630679388,0.12935323383084577,-1.3837454261375322,1.23,0.024222943841745836,4.637032743060488
50,14,0.44906329848024895,0.17004680187207488,-0.438231467330525,1.28,383,0.4292767825448368,0.1669266770670827,-0.4452440975387224,1.24,0.01978651593541214,4.609267665983192
51,48,0.5482200378516006,0.13410596026490065,-0.753131935570488,1.27,572,0.4738577023435969,0.1357615894039735,-1.0380623986620798,1.23,0.07436233550800364,15.692967559717555
52,82,0.41092820748520786,0.1038961038961039,-1.93874143501185,1.26,793,0.4168812937779841,0.125,-1.9048996761757446,1.1800000000000002,-0.005953086292776244,-1.428005137583996
53,27,0.4451170506110762,0.09561128526645768,-1.3861018898885882,1.24,461,0.3849844294511975,0.10658307210031348,-1.7475449670055698,1.09,0.06013262115987872,15.619494337887613
54,21,0.5395082848519437,0.17647058823529413,-1.1811082658327838,1.19,426,0.5327321342625385,0.1865546218487395,-1.2273003389336705,1.19,0.006776150589405172,1.2719620525210857
55,94,0.12514680805041267,0.05646359583952452,-0.9209484467775879,1.01,2134,0.1455043935344501,0.06537890044576523,-0.8928149805303074,1.0,-0.020357585484037433,-13.991045211440644
56,25,0.354083726083983,0.1722488038277512,-0.5995791975609055,0.8899999999999999,452,0.2469766242012994,0.18181818181818182,-0.8791967175829976,0.7,0.10710710188268358,43.36730337498882
